,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
3230,CURCUMA LONGA POW-,,,84775-52-0,283-882-1,"Curcuma Longa Powder
is a powder of
the dried crushed",Tonic,
3231,DER,,,,,"rhizomes of
the turmeric, Curcuma longa, Zingiberaceae",,
3232,CURCUMA ZEDOARIA,,,84961-49-9,284-637-1,"Curcuma Zedoaria Extract
is the oil obtained from the",Emollient/tonic,
3233,OIL,,,,,"rhizomes of
the zedoary, Curcuma zedoaria, Zingiberaceae",,
3234,CURRY RED,,,25956-17-6,247-368-0,Disodium 6-hydroxy-5-[(2-methoxy-4-sulphonato-m-tolyl),Hair dyeing,
3235,,,,,,azo]naphthalene-2-sulphonate (CI 16035),,
3236,CUTANEOUS LYSATE,,,,,"Protein hydrolyzates, skin",Moisturising/skin protecting,
3237,CYAMOPSIS TETRAGO-,,,9000-30-0,232-536-8,Cyamopsis Tetragonolobus Gum is a resinous material,Binding/emulsion stabilising/film,
3238,NOLOBUS GUM,,,,,derived from the ground endosperm of Cyamopsis tetra-,forming/viscosity controlling,
3239,,,,,,"gonolobus, Leguminosae",,
3240,CYANOCOBALAMIN,cyanocobalamin,cyanocobalaminum,68-19-9,200-680-0,Cyanocobalamin,Skin conditioning,
3241,CYANOTIS ARACHNOI-,,,,,"Cyanotis Arachnoidea Extract
is an extract of
the roots of",Skin conditioning,
3242,DEA EXTRACT,,,,,"Cyanotis arachnoidea, Commelinaceae",,
3243,CYCLAMEN ALDEHYDE,,,103-95-7,203-161-7,3-p-cumenyl-2-methylpropionaldehyde,Masking,
3244,CYCLOCARBOXYPROPY-,,,53980-88-4,258-897-1,5(or 6)-carboxy-4-hexylcyclohex-2-ene-1-octanoic acid,Viscosity controlling,
3245,LOLEIC ACID,,,,,,,
3246,CYCLODEXTRIN,,,7585-39-9,231-493-2,Cycloheptapentylose,Absorbent/chelating,
3247,CYCLOETHOXYMETHI-,,,,,Methylethoxysiloxane cyclic polymer,Emollient/skin conditioning/sol-,
3248,CONE,,,,,,vent,
3249,CYCLOHEXANE,,,110-82-7,203-806-2,Cyclohexane,Solvent,
3250,CYCLOHEXANEDIAMINE,,,482-54-2,207-582-7,"Cyclohex-1,2-ylenediaminetetra(acetic acid)",Chelating,
3251,TETRAACETIC ACID,,,,,,,
3252,CYCLOHEXASILOXANE,,,540-97-6,208-762-8,Dodecamethylcyclohexasiloxane,Hair conditioning/emollient/solvent,
3253,CYCLOHEXYLAMINE,,,108-91-8,203-629-0,Cyclohexylamine,Anticorrosive/buffering,
3254,CYCLOMETHICONE,cyclomethicone,,556-67-2,209-136-7,Octamethylcyclotetrasiloxane,Antistatic/emollient/humectant/sol-,
3255,,,,,,,vent/viscosity controlling/hair con-,
3256,,,,,,,ditioning,
3257,CYCLOPENTANE CAR-,,,3400-45-1,222-269-5,Cyclopentanecarboxylic acid,Surfactant,
3258,BOXYLIC ACID,,,,,,,
3259,CYCLOPENTASILOXANE,,,541-02-6,208-764-9,Decamethylcyclopentasiloxane,Hair conditioning/emollient/solvent,
3260,CYCLOTETRASILOXANE,,,556-67-2,209-136-7,Octamethylcyclotetrasiloxane,Hair conditioning/emollient/solvent,
3261,CYCLOTRISILOXANE,,,541-05-9,,Hexamethylcyclotrisiloxane,Hair conditioning/emollient/solvent,
3262,CYMBOPOGON MARTINI,,,84649-81-0,283-461-2,"Cymbopogon Martini Oil
is the volatile oil expressed from",Tonic,
3263,OIL,,,,,"the herb palmarosa, Cymbopogon martini, Gramineae",,
3264,CYMBOPOGON NARDUS,,,8000-29-1,289-753-6,"Cymbopogon Nardus Oil
is the essential oil obtained by",Tonic,
3265,OIL,,,,,"direct steam-distillation of
the dried fresh grass citronella,",,
3266,,,,,,"Cymbopogon nardus, Gramineae",,
3267,CYMBOPOGON SCHOE-,,,89998-16-3,289-754-1,"Cymbopogon Schoenanthus Extract
is an extract of
the",Soothing,
3268,NANTHUS EXTRACT,,,,,"lemongrass,
from Cymbopogon schoenanthus, Gramineae",,
3269,CYMBOPOGON SCHOE-,,,8007-02-1/,289-754-1/,"Cymbopogon Schoenanthus Oil
is the volatile oil obtained",Tonic/masking,
3270,NANTHUS OIL,,,89998-16-3/,289-752-0,"by the steam distillation of fresh lemon grass, Cymbopogon",,
3271,,,,89998-14-1,,"schoenanthus, Gramineae",,
3272,CYNARA SCOLYMUS,,,84012-14-6,281-659-3,"Cynara Scolymus Extract
is an extract of
the leaves of
the",Soothing/skin protecting,
3273,EXTRACT,,,,,"artichoke, Cynara scolymus, Compositae",,
3274,CYPERUS ESCULENTUS,,,,223748-92-3,,"Cyperus Esculentus Oil
is the fixed oil obtained from the",Tonic
3275,OIL,,,,,,"tubers of Cyperus esculentus, Cyperaceae",
3276,CYPERUS ROTUNDUS,,,,85085-54-7,285-381-3,"Cyperus Rotundus Extract
is an extract of
the tubers of",Skin conditioning
3277,EXTRACT,,,,,,"Cyperus rotundus, Cyperaceae",
3278,CYPRIPEDIUM PUBESCENS,,,,84775-54-2,283-884-2,"Cypripedium Pubescens Extract
is an extract of
the roots of",Skin conditioning/tonic
3279,EXTRACT,,,,,,"the lady's slipper, Cypripedium pubescens, Orchidaceae",
3280,CYSTAMINE BIS-LACTA-,,,,168961-93-1,,"Propanamide, N,N'-(dithiodi-2,1-ethanediyl)bis[2-hydroxy-",Skin conditioning
3281,MIDE,,,,,,,
