,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
0,ABIES BALSAMEA,,,85085-34-3,285-364-0,"Abies Balsamea Extract
is an extract of
the sprouts of Abies",,Film forming/hair conditioning
1,EXTRACT,,,,,"balsamea, Pinaceae",,
2,ABIES PECTINATA,,,92128-34-2,295-728-0,"Abies Pectinata Extract
is an extract of
the bark and needles",,Tonic/deodorant
3,EXTRACT,,,,,"of
the silver
fir, Abies pectinata, Pinaceae",,
4,ABIES PECTINATA OIL,,,92128-34-2,295-728-0,"Abies Pectinata Oil
is the volatile oil obtained from the",,Tonic/masking
5,,,,,,"needles of
the silver
fir, Abies pectinata, Pinaceae",,
6,ABIES SIBIRICA OIL,,,91697-89-1,294-351-9,"Abies Sibirica Oil
is the volatile oil distilled from the needles",,Tonic/masking
7,,,,,,"and branches of Abies sibirica, Pinaceae",,
8,ABIETIC ACID,,,514-10-3,208-178-3,Abietic acid,,Emulsion stabilising
9,ABIETYL ALCOHOL,,,666-84-2,211-564-4,"[1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.)]-",,Viscosity controlling
10,,,,,,"1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-",,
11,,,,,,dimethylphenanthren-1-methanol,,
12,ACACIA CATECHU,,,8001-76-1,232-291-7,"Acacia Catechu is the dried, crushed core of Acacia catechu,",,Hair dyeing/astringent
13,,,,,,Leguminosae,,
14,ACACIA CONCINNA,,,202148-87-6,,"Acacia Concinna Extract
is an extract of
the fruit of Acacia",,Skin conditioning
15,EXTRACT,,,,,"concinna, Leguminosae",,
16,ACACIA DEALBATA,,,165800-52-2,,"Acacia Dealbata Extract
is an extract of
the leaves of
the",,Skin conditioning
17,EXTRACT,,,,,"wattle, Acacia dealbata, Leguminosae",,
18,ACACIA DECURRENS,,,98903-76-5,308-877-4,"Accacia Decurrens Extract is an extract of
the sprouts of
the",,Tonic
19,EXTRACT,,,,,"acacia, Acacia decurrens, Leguminosae",,
20,ACACIA FARNESIANA,,,89958-31-6,289-655-3,"Acacia Farnesiana Extract
is an extract of
the flowers and",,Viscosity controlling/astringent
21,EXTRACT,,,,,"stems of
the acacia, Acacia farnesiana, Leguminosae",,
22,ACACIA FARNESIANA,,,2593593,232-519-5,Acacia Farnesiana Gum is a plant material derived from the,,Viscosity controlling/astringent
23,GUM,,,,,"dried, gummy exudate of acacia, Acacia farnesiana,",,
24,,,,,,Leguminosae,,
25,ACACIA SENEGAL,acacia,acaciae gummi,2593228,232-519-5,Gum arabic,,Viscosity controlling
26,ACACIA SENEGAL,,,97659-43-3,307-447-3,Acacia Senegal Extract is an extract of the flowers and stems,,Viscosity controlling
27,EXTRACT,,,,,"of
the acacia, Acacia senegal, Leguminosae",,
28,ACACIA SENEGAL GUM,,,90387-99-8,291-377-2,"Acacia Senegal Gum Extract
is an extract of
the gum of
the",,Viscosity controlling
29,EXTRACT,,,,,"acacia, Acacia senegal, Leguminosae",,
30,ACANTHOPANAX SENTI-,,,92346-80-0,296-164-8,Acanthopanax Senticosus Extract,is an extract of,the roots
31,COSUS EXTRACT,,,,,,"of eleuthero ginseng, Acanthopanax senticosus, Araliaceae",
32,ACER PSEUDOPLATANUS,,,90063-88-0,290-048-0,Acer Pseudoplatanus Extract,is an extract of,the leaves of
33,EXTRACT,,,,,"Acer pseudoplatanus, Aceraceae",,
34,ACER SACCHARINUM,,,91770-22-8,294-807-7,Acer Saccharinum Extract,is an extract of,the bark and sap
35,EXTRACT,,,,,of,"the sugar maple, Acer saccharinum, Aceraceae",
36,ACETALDEHYDE,,,75-07-0,200-836-8,Acetaldehyde,,
37,ACETAMIDE MEA,,,142-26-7,205-530-8,N-2-hydroxyethylacetamide,,
38,ACETAMIDOETHOXYBU-,,,221375-78-6,,,"Butanaminium, N,N, N-trimethyl-4-(2-acetamidoethoxy),",
39,TYL TRIMONIUM CHLOR-,,,,,chloride,,
40,IDE,,,,,,,
41,ACETAMIDOPROPYL TRI-,,,123776-56-7,,,"3-(acetylamino)-N, N,N-trimethyl-1-propanaminium chlor-",
42,MONIUM CHLORIDE,,,,,ide,,
43,ACETAMINOPHEN,paracetamol,paracetamolum,103-90-2,203-157-5,"Acetamide, N-(4-hydroxyphenyl)-",,
44,ACETAMINOSALOL,acetaminosalol,,118-57-0,204-261-3,,"Benzoic acid, 2-hydroxy-, 4-(acetylamino)phenyl ester",
45,ACETANILID,acetanilide,,103-84-4,203-150-7,Acetanilide,,
46,ACETIC ACID,acetic acid,acidum aceticum,64-19-7,200-580-7,Acetic acid,,
47,ACETONE,acetone,,67-64-1,200-662-2,Acetone,,
48,1-ACETOXY-2-METHYL-,,,1386868,,"1-Naphthalenol, 2-methyl-, acetate",,
49,NAPHTHALENE,,,,,,,
50,ACETUM,,,90132-02-8,290-419-7,"Vinegar, ext",,
51,ACETYL CYSTEINE,,,616-91-1,210-498-3,Acetylcysteine,,
52,ACETYL GLUCOSAMINE,,,10036-64-3,233-115-1,N-acetyl-.alpha.-D-glucosamine,,
53,ACETYL GLUTAMIC ACID,,,1188-37-0,214-708-4,N-acetylglutamic acid,,
54,ACETYL GLUTAMINE,,,35305-74-9,,"L-Glutamine, N-acetyl-",,
55,ACETYL GLYCERYL RICI-,,,235433-29-1,,"Glycerides, mixed acetyl and ricinoleoyl",,Skin conditioning/emollient
56,NOLEATE,,,,,,,
57,ACETYL HEXAMETHYL,,,15323-35-0,239-360-0,"1,1,2,3,3,6-hexamethylindan-5-yl methyl ketone",,Masking
58,INDAN,,,,,,,
59,ACETYL HEXAMETHYL,,,1506-02-1,216-133-4,"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)",,Masking
60,TETRALIN,,,,,ethan-1-one,,
61,ACETYL MANDELIC ACID,,,51019-43-3/,,"Benzeneacetic acid,
.alpha.-(acetyloxy)-",,Buffering
62,,,,7322-88-5,,,,
63,ACETYL METHIONINE,,,65-82-7/1115-,200-617-7/214-,N-acetylmethionine,,Skin conditioning
64,,,,47-5,224-3,,,
65,ACETYL TRIBUTYL,,,77-90-7,201-067-0,Tributyl O-acetylcitrate,,Film forming/plasticiser
66,CITRATE,,,,,,,
67,ACETYL TRIETHYL,,,77-89-4,201-066-5,Triethyl O-acetylcitrate,,Film forming/plasticiser
68,CITRATE,,,,,,,
69,ACETYL TRIETHYLHEXYL,,,144-15-0,205-617-0,"Tris(2-ethylhexyl) 2-(acetyloxy)propane-1,2,3-tricarboxylate",,Emollient/film forming/plasticiser
70,CITRATE,,,,,,,
71,ACETYL TRIHEXYL,,,24817-92-3,,"1,2,3-propanetricarboxylic acid, 2-acetyloxy-,
trihexyl ester",,Antioxidant/chelating/plasticiser
72,CITRATE,,,,,,,
73,ACETYL TYROSINE,,,537-55-3,208-671-3,N-acetyl-L-tyrosine,,Tanning
74,ACETYLATED CASTOR,,,84929-62-4,284-546-7,"Castor oil, acetylated",,Emollient
75,OIL,,,,,,,
76,ACETYLATED CETYL,,,221378-54-7,,"L-Proline, 1-acetyl-4-(acetyloxy)-, hexadecyl ester,
(4R)-",,Emollient
77,HYDROXYPROLINATE,,,,,,,
78,ACETYLATED GLYCOL,,,22613-51-0,245-122-7,2-acetoxyethyl stearate,,Emollient/emulsion stabilising
79,STEARATE,,,,,,,
80,ACETYLATED HYDROGE-,,,165800-53-3,,"Glycerides, cottonseed oil mono-, hydrogenated, acetates",,Emollient/emulsifying
81,NATED COTTONSEED,,,,,,,
82,GLYCERIDE,,,,,,,
83,ACETYLATED HYDROGE-,,,91053-41-7,293-306-0,"Lanolin, hydrogenated, acetylated",,Emollient
84,NATED LANOLIN,,,,,,,
85,ACETYLATED HYDROGE-,,,93572-31-7,297-461-5,"Glycerides,
lard mono-, hydrogenated, acetates",,Emollient
86,NATED LARD GLYCERIDE,,,,,,,
87,ACETYLATED HYDROGE-,,,68990-58-9,273-612-0,"Glycerides,
tallow mono-, hydrogenated, acetates",,Emollient/emulsifying
88,NATED TALLOW GLYCER-,,,,,,,
89,IDE,,,,,,,
90,ACETYLATED HYDROGE-,,,91723-32-9,294-538-5,"Glycerides,
tallow mono-, di- and tri-, hydrogenated,",,Emollient/emulsifying
91,NATED TALLOW GLYCER-,,,,,acetates,,
92,IDES,,,,,,,
93,ACETYLATED HYDROGE-,,,174333-76-7,,"Glycerides, vegetable oil mono-, hydrogenated, acetates",,Emollient
94,NATED VEGETABLE GLY-,,,,,,,
95,CERIDE,,,,,,,
96,ACETYLATED LANOLIN,,,61788-48-5,262-979-2,"Lanolin, acetate",,Antistatic/emollient/emulsifying
97,ACETYLATED LANOLIN,,,61788-49-6,262-980-8,"Acetic acid, esters with lanolin alcs",,Antistatic/emollient/emulsifying
98,ALCOHOL,,,,,,,
99,ACETYLATED LANOLIN,,,226995-78-4,,"9-Octadecenoic acid, 12-hydroxy-,
(9Z, 12R)-, esters with",,Antistatic/emollient
100,RICINOLEATE,,,,,"lanolin alcohols, acetates",,
101,ACETYLATED LARD GLY-,,,68990-55-6,273-609-4,"Glycerides,
lard mono-, acetates",,Emollient
102,CERIDE,,,,,,,
103,ACETYLATED PALM KER-,,,91744-63-7,294-627-9,"Glycerides, palm kernel-oil, acetylated",,Emollient/emulsifying
104,NEL GLYCERIDES,,,,,,,
105,ACETYLATED SUCROSE,,,121684-92-2,,"Sucrose distearate, acetates",,Emollient
106,DISTEARATE,,,,,,,
107,ACETYLMETHIONYL,,,227200-23-9,,"Elastin,
reaction products with N-acetyl-L-methionine and",,Antistatic/skin conditioning/hair
108,METHYLSILANOL ELASTI-,,,,,methylsilanetriol,,conditioning
109,NATE,,,,,,,
110,ACHILLEA MILLEFOLIUM,,,84082-83-7,282-030-6,"Achillea Millefolium Extract
is an extract of
the leaves and",,Soothing/antidandruff/refreshing/
111,EXTRACT,,,,,"flowers of
the yarrow, Achillea millefolium, Asteraceae",,cleansing/tonic
112,ACHILLEA MILLEFOLIUM,,,2236206,282-030-6,"Achillea Millefolium Oil
is the oil obtained from the",,Soothing/antidandruff/refreshing/
113,OIL,,,,,"flowering herb of
the yarrow, Achillea millefolium,",,cleansing/tonic
114,,,,,,Asteraceae,,
115,ACID BLACK 1,,,1064-48-8,213-903-1,Disodium 4-amino-5-hydroxy-3-(4-nitrophenylazo)-6-(phe-,Hair dyeing,
116,,,,,,"nylazo)naphthalene-2,7-disulphonate (CI 20470)",,
117,ACID BLACK 52,,,5610-64-0,227-029-3,"Chromium, 3-hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]-",Hair dyeing,
118,,,,,,7-nitro-1-naphthalenesulphonic acid complex (CI 15711),,
119,ACID BLUE 1,,,129-17-9,204-934-1,"Hydrogen [4-[4-(diethylamino)-2',4'-disulphonatobenzhy-",Hair dyeing,
120,,,,,,"drylidene]cyclohexa-2,5-dien-1-ylidene]diethylammonium,",,
121,,,,,,"sodium salt
(CI 42045)",,
122,ACID BLUE 3,,,3536-49-0,222-573-8,"Bis[hydrogen [4-[4-(diethylamino)-5'-hydroxy-2',4'-disul-",Hair dyeing,
123,,,,,,"phonatobenzhydrylidene]cyclohexa-2,5-dien-1-ylidene]",,
124,,,,,,"diethylammonium], calcium salt
(CI 42051)",,
125,ACID BLUE 9,,,3844-45-9,223-339-8,Dihydrogen (ethyl)[4-[4-[ethyl(3-sulphonatobenzyl)],Hair dyeing,
126,,,,,,"amino]-2'-sulphonatobenzhydrylidene]cyclohexa-2,5-dien-",,
127,,,,,,"1-ylidene](3-sulphonatobenzyl)ammonium, disodium salt",,
128,,,,,,(CI 42090),,
129,ACID BLUE 62,,,4368-56-3,224-460-9,"Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10-",Hair dyeing,
130,,,,,,dioxoanthracene-2-sulphonate (CI 62045),,
131,ACID BLUE 74,indigotindisulfonate,,860-22-0,212-728-8,"Disodium 5,5'-(2-(1,3-dihydro-3-oxo-2H-indazol-2-yli-",Hair dyeing,
132,,sodium,,,,"dene)-1,2-dihydro-3H-indol-3-one)disulphonate (CI 73015)",,
133,ACID BROWN 13,,,6373-79-1,228-922-0,"Disodium 3,3'-[sulphonylbis[(2-nitro-p-phenylene)imino]]",Hair dyeing,
134,,,,,,"bis[6-anilinobenzenesulphonate]
(CI 10410)",,
135,ACID GREEN 1,,,19381-50-1,243-010-2,"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxo-",Hair dyeing,
136,,,,,,"naphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)
(CI 10020)",,
137,ACID GREEN 25,,,4403-90-1,224-546-6,"Disodium 2,2'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5-",Hair dyeing,
138,,,,,,"methylsulphonate)
(CI 61570)",,
139,ACID GREEN 50,,,3087-16-9,221-409-2,"Hydrogen [4-[4-(dimethylamino)-.alpha.-(2-hydroxy-3,6-",Hair dyeing,
140,,,,,,"disulphonato-1-naphthyl)benzylidene]cyclohexa-2,5-dien-1-",,
141,,,,,,"ylidene]dimethylammonium, monosodium salt
(CI 44090)",,
142,ACID ORANGE 3,,,6373-74-6,228-921-5,"Sodium 2-anilino-5-(2,4-dinitroanilino)benzenesulphonate",Hair dyeing,
143,,,,,,(CI 10385),,
144,ACID ORANGE 6,,,547-57-9,208-924-8,"Sodium 4-(2,4-dihydroxyphenylazo)benzenesulphonate (CI",Hair dyeing,
145,,,,,,14270),,
146,ACID ORANGE 7,,,633-96-5,211-199-0,Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonate,Hair dyeing,
147,,,,,,(CI 15510),,
148,ACID ORANGE 24,,,1320-07-6,215-296-9,"Sodium 4-[[3-[(dimethylphenyl)azo]-2,4-dihydroxyphenyl]",Hair dyeing,
149,,,,,,azo]benzenesulphonate (CI 20170),,
150,ACID RED 14,,,3567-69-9,222-657-4,Disodium 4-hydroxy-3-[(4-sulphonatonaphthyl)azo],Hair dyeing,
151,,,,,,naphthalenesulphonate (CI 14720),,
152,ACID RED 14 ALUMINUM,,,84238-07-3,282-478-2,"1-Naphthalenesulfonic acid, 4-hydroxy-3-[(4-sulfo-1-",Hair dyeing,
153,LAKE,,,,,"naphthalenyl)azo]-, aluminium complex (CI 14720: 1)",,
154,ACID RED 18,,,2611-82-7,220-036-2,"Trisodium 1-(1-naphthylazo)-2-hydroxynaphthalene-4',6,8-",Hair dyeing,
155,,,,,,trisulphonate (CI 16255),,
156,ACID RED 18 ALUMINUM,,,12227-64-4,235-438-3,"Aluminium, 7-hydroxy-8-[(4-sulfo-1-naphthalenyl)azo]-1,3-",Hair dyeing,
157,LAKE,,,,,naphthalenedisulfonic acid complex (CI 16255: 1),,
158,ACID RED 27,,,915-67-3,213-022-2,Trisodium 3-hydroxy-4-(4'-sulphonatonaphthylazo),Hair dyeing,
159,,,,,,"naphthalene-2,7-disulphonate (CI 16185))",,
160,ACID RED 33,,,3567-66-6,222-656-9,Disodium 5-amino-4-hydroxy-3-(phenylazo)naphthalene-,Hair dyeing,
161,,,,,,"2,7-disulphonate (CI 17200)",,
162,ACID RED 35,,,6441-93-6,229-231-7,Disodium 5-(acetylamino)-4-hydroxy-3-[(o-tolyl)azo],Hair dyeing,
163,,,,,,"naphthalene-2,7-disulphonate (CI 18065)",,
164,ACID RED 51,erythrosine,,16423-68-0,240-474-8,"Disodium 2-(2,4,5,7-tetraiodo-6-oxido-3-oxoxanthen-9-yl)",Hair dyeing,
165,,,,,,benzoate (CI 45430),,
166,ACID RED 52,,,3520-42-1,222-529-8,"Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl)",Hair dyeing,
167,,,,,,"xanthylium, sodium salt
(CI 45100)",,
168,ACID RED 73,,,5413-75-2,226-502-1,"1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-[[4-(pheny-",Hair dyeing,
169,,,,,,"lazo)phenyl]azo]-, disodium salt
(CI 27290)",,
170,ACID RED 87,,,17372-87-1,241-409-6,"Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-",Hair dyeing,
171,,,,,,yl)benzoate (CI 45380),,
172,ACID RED 92,,,18472-87-2,242-355-6,"3,4,5,6-tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3-",Hair dyeing,
173,,,,,,oxoxanthen-9-yl)benzoic acid (CI 45410),,
174,ACID RED 95,,,33239-19-9,251-419-2,"Disodium 2-(4,5-diiodo-6-oxido-3-oxoxanthen-9-yl)benzo-",Hair dyeing,
175,,,,,,ate (CI 45425),,
176,ACID RED 195,,,,,"IV/1
Chromium, 4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-",Cosmetic colorant,
177,,,,,,pyrazol-4-yl)azo]-3-hydroxynaphthalene-1-sulphonic acid,,
178,,,,,,complex,,
179,ACID VIOLET 9,,,6252-76-2,228-377-9,Hydrogen 9-(2-carboxylatophenyl)-3-(2-methylanilino)-6-,Hair dyeing,
180,,,,,,"(2-methyl-4-sulphoanilino)xanthylium, monosodium salt",,
181,,,,,,(CI 45190),,
182,ACID VIOLET 43,,,4430-18-6,224-618-7,"Sodium 4-[(9,10-dihydro-4-hydroxy-9,10-dioxo-1-anthryl)",Hair dyeing,
183,,,,,,amino]toluene-3-sulphonate (CI 60730),,
184,ACID YELLOW 1,,,846-70-8,212-690-2,"Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate (CI",Hair dyeing,
185,,,,,,10316),,
186,ACID YELLOW 3,,,95193-83-2,305-897-5,"1H-Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated,",Hair dyeing,
187,,,,,,sodium salts,,
188,ACID YELLOW 23,,,1934-21-0,217-699-5,Trisodium 5-hydroxy-1-(4-sulphophenyl)-4-(4-sulphophe-,Hair dyeing,
189,,,,,,nylazo)pyrazole-3-carboxylate (CI 19140),,
190,ACID YELLOW 73,fluorescein sodium,,518-47-8,208-253-0,Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate (CI,Hair dyeing,
191,SODIUM SALT,,,,,45350),,
192,ACIDOPHILUS/VITIS VINI-,,,,,"Acidophilus/Vitis vinifera Ferment
is the product obtained",Skin conditioning,
193,FERA FERMENT,,,,,by fermentation of grapes (Vitis vinifera) by the micro-,,
194,,,,,,organism Acidophilus,,
195,ACINETOBACTER FER-,,,,,Product obtained by the fermentation of acinetobacter,Skin conditioning,
196,MENT,,,,,,,
197,ACORUS CALAMUS,,,84775-39-3,283-869-0,"Acorus Calamus Extract
is an extract of
the roots of
the",Skin conditioning,
198,EXTRACT,,,,,"calamus, Acorus calamus, Araceae",,
199,ACORUS CALAMUS ROOT,,,84775-39-3,283-869-0,"Acorus Calamus Root Powder
is the powder derived from",Skin conditioning,
200,POWDER,,,,,"the root of
the calamus, Acorus calamus, Araceae",,
201,ACRYLAMIDE/SODIUM,,,25085-02-3,,"2-propenoic acid, sodium salt, polymer with 2-propenamide",Antistatic/film forming,
202,ACRYLATE COPOLYMER,,,,,,,
203,ACRYLAMIDES COPOLY-,,,,,"2-propenamide, polymer with 2-butenamide and/or alkyl-",Antistatic/film forming,
204,MER,,,,,propenamide,,
205,ACRYLAMIDES/ACRY-,,,,,Film forming,,
206,LATES/DMAPA/METHOXY,,,,,,,
207,PEG METHACRYLATE,,,,,,,
208,COPOLYMER,,,,,,,
209,ACRYLAMIDOPROPYLTRI-,,,,"Propenamidopropyltrimethylammonium chloride, polymer",Film forming,,
210,MONIUM CHLORIDE/,,,,"with propenoic acid, butenoic acid, and/or alkyl propeno-",,,
211,ACRYLATES COPOLYMER,,,,ates,,,
212,ACRYLATES COPOLYMER,,,25133-97-5,"2-propenoic acid, 2-methyl-, polymer with ethyl 2-pro-",Antistatic/binding/film forming,,
213,,,,,penoate and methyl 2-methyl-2-propenoate,,,
214,ACRYLATES/ACETOACE-,,,,,Film forming,,
215,TOXYETHYL METHACRY-,,,,,,,
216,LATE COPOLYMER,,,,,,,
217,ACRYLATES/ACRYLAMIDE,,,,"Propenamide, polymer with propenoic acid, butenoic acid,",Film forming,,
218,COPOLYMER,,,,and/or alkyl propenoates,,,
219,ACRYLATES/AMMONIUM,,,,"Ammonium butenoate, polymer with propenoic acid,",Antistatic/film forming,,
220,METHACRYLATE COPOLY-,,,,"butenoic acid, and/or alkyl propenoates",,,
221,MER,,,,,,,
222,ACRYLATES/C10-30,,,,"C10-C30 alkyl propenoate, polymer with propenoic acid,",Film forming,,
223,ALKYL ACRYLATE CROSS-,,,,"butenoic acidand/or alkyl propenoates, product with",,,
224,POLYMER,,,,"propenyl sucrose ether or propenyl 2,2-dihydroxymethyl-",,,
225,,,,,"1,3-propanediol",,,
226,ACRYLATES/CARBAMATE,,,,,Hair conditioning/skin condition-,,
227,COPOLYMER,,,,,ing,,
228,ACRYLATES/CETETH-20,,,,"Copolymer
formed from the half ester of methylenebuta-",Viscosity controlling,,
229,ITACONATE COPOLYMER,,,,"nedioic acid and poly(oxy-1,2-ethanediyl),.alpha.-hexadecyl-.",,,
230,,,,,"omega.-hydroxy-, and one or more monomers of acrylic",,,
231,,,,,"acid, methacrylic acid or one of
their simple esters",,,
232,ACRYLATES/CETETH-20,,,,"Copolymer
formed from the half ester of methacrylic acid",Viscosity controlling,,
233,METHACRYLATE COPOLY-,,,,"and poly(oxy-1,2-ethanediyl),.alpha.-hexadecyl-.omega.-",,,
234,MER,,,,"hydroxy-, and one or more monomers of acrylic acid,",,,
235,,,,,"methacrylic acid or one of
their simple esters",,,
236,ACRYLATES/DIACETO-,,,,,Film forming/viscosity controlling,,
237,NEACRYLAMIDE COPOLY-,,,,,,,
238,MER,,,,,,,
239,ACRYLATES/DIMETHI-,,,,"Polydimethylsiloxane, copolymer with one or more mono-",Anticaking/binding/film forming,,
240,CONE COPOLYMER,,,,"mers of acrylic acid, methacrylic acid or one of
their simple",,,
241,,,,,esters,,,
242,ACRYLATES/DIMETHYLA-,,,,"Copolymer
formed from the ester of methacrylic acid and",Binding/film forming,,
243,MINOETHYL METHACRY-,,,,dimethylaminoethanol and one or more monomers con-,,,
244,LATE COPOLYMER,,,,"sisting of acrylic acid, methacrylic acid or one of their simple",,,
245,,,,,esters,,,
246,ACRYLATES/ETHYLHEXYL,,,,"Copolymer
formed from ethylhexyl acrylate, and one or",Film forming,,
247,ACRYLATE COPOLYMER,,,,"more monomers of acrylic acid, methacrylic acid or one of",,,
248,,,,,their simple esters,,,
249,ACRYLATES/ETHYLHEXY-,,,,"2-Propenoic acid, 2-methyl-, polymer with 2-propenoic acid",Film forming,,
250,LACRYLAMIDE COPOLY-,,,,and N-(2-ethylhexyl)-2-propenamide,,,
251,MER,,,,,,,
252,ACRYLATES/PVP COPOLY-,,,26589-26-4,"2-propenoic acid, 2-methyl-, polymer with 1-ethenyl-2-",Antistatic/binding/film forming,,
253,MER,,,,pyrrolidinone and ethyl 2-methyl-2-propenoate,,,
254,ACRYLATES/STEARETH-,,,,,Film forming/viscosity controlling,,
255,50 ACRYLATE COPOLY-,,,,,,,
256,MER,,,,,,,
257,ACRYLATES/STEARETH-,,,,"Stearyl alcohol, product with oxirane, butenoate ester,",Viscosity controlling,,
258,20 METHACRYLATE,,,,"polymer with propenoic acid, butenoic acid, and/or alkyl",,,
259,COPOLYMER,,,,propenoates,,,
260,ACRYLATES/STEARETH-,,,,"Copolymer
formed from the half ester of methylenebuta-",Viscosity controlling,,
261,20 ITACONATE COPOLY-,,,,"nedioic acid and poly(oxy-1,2-ethanediyl),.alpha.-octadecyl-.",,,
262,MER,,,,"omega.-hydroxy-, and one or more monomers of acrylic",,,
263,,,,,"acid, methacrylic acid or one of
their simple esters",,,
264,ACRYLATES/VA COPOLY-,,,25067-02-1,,Film forming/viscosity controlling,,
265,MER,,,,,,,
266,ACRYLATES/VA CROSSPO-,,,,,Film forming,,
267,LYMER,,,,,,,
268,ACRYLATES/VINYL ISO-,,,,,Film forming/emulsion stabilising/,,
269,DECANOATE CROSSPOLY-,,,,,viscosity controlling,,
270,MER,,,,,,,
271,ACRYLIC ACID/ACRYLO-,,,61788-40-7,"2-Propenenitrile, homopolymer, hydrolyzed",Film forming,,
272,NITROGENS COPOLYMER,,,,,,,
273,ACTINIDIA CHINENSIS,,,"92456-63-8
296-241-6","Actinidia Chinensis Extract
is an extract of
the fruit of
the",Emollient/skin conditioning,,
274,FRUIT EXTRACT,,,,"kiwi, Actinidia chinensis, Actinidiaceae",,,
275,ACTINIDIA CHINENSIS,,,"92456-63-8
296-241-6","Actinidia Chinensis Seed is the ground seeds of
the kiwi",Emollient/skin conditioning,,
276,SEED,,,,"plant, Actinidia chinensis, Actinidiaceae",,,
277,ACTINIDIA CHINENSIS,,,,"Actinidia Chinensis Seed Oil
is a fixed oil expressed from the",Emollient/skin conditioning,,
278,SEED OIL,,,,"seeds of
the kiwi plant, Actinidia chinensis, Actinidiaceae",,,
279,ACTINIDIA CHINENSIS,,,"92456-63-8
296-241-6","Actinidia Chinensis Water
is an aqueous solution of
the",Emollient/skin conditioning,,
280,WATER,,,,"odoriferous principles of
the fruit of
the kiwi, Actinidia",,,
281,,,,,"chinensis, Actinidiaceae",,,
282,ADANSONIA DIGITATA,,,225233-93-2,"Adansonia Digitata Oil
is the fixed oil obtained from the",Emollient/skin conditioning,,
283,OIL,,,,"leaves and the pulp of
fruits of
the Adansonia digitata,",,,
284,,,,,Bombacaceae,,,
285,ADENOSINE,,,"58-61-7
200-389-9",Adenosine,Skin conditioning,,
286,ADENOSINE CYCLIC,,,"60-92-4
200-492-9","Adenosine, cyclic 3',5'-(hydrogen phosphate)",Skin conditioning,,
287,PHOSPHATE,,,,,,,
288,ADENOSINE PHOSPHATE,adenosine phos-,,"61-19-8
200-500-0",Adenosine phosphate,Skin conditioning,,
289,,phate,,,,,,
290,ADENOSINE TRIPHO-,,,"56-65-5
200-283-2",Adenosine 5'-triphosphate,Skin conditioning,,
291,SPHATE,,,,,,,
292,ADEPS BOVIS,,,"61789-97-7
263-099-1",Tallow. An animal fat. Contains primarily glycerides of C16-,"Emollient
II/419 (processing",,
293,,,,,18 fatty acids,according to II/419,,
294,,,,,,should be followed),,
295,ADEPS SUILLUS,,,"61789-99-9
263-100-5","Lard. The purified internal
fat of
the hog.
It consists",Emollient,,
296,,,,,"primarily of stearin, palmitin and olein",,,
297,ADIANTUM CAPILLUS,,,"84649-72-9
283-457-0","Adiantum Capillus-veneris Extract is an extract of
the leaves",Antidandruff/astringent,,
298,VENERIS EXTRACT,,,,"of
the maiden hair
fern, Adiantum capillus-veneris,",,,
299,,,,,Polypodiaceae,,,
300,ADIANTUM PEDATUM,,,165800-54-4,"Adiantum Pedatum Extract
is an extract of
the leaves of
the",Antidandruff/astringent,,
301,EXTRACT,,,,"fern, Adiantum pedatum, Polypodiaceae",,,
302,ADIPIC ACID,,,124-04-9,204-673-3,"Adipic acid
Buffering",,
303,ADIPIC ACID/DIETHYLENE,,,26760-54-3,,"Hexanedioic acid, polyester with 2,2'-oxybisethanol and
Film forming",,
304,GLYCOL/GLYCERIN,,,,,"1,2,3-propanetriol",,
305,CROSSPOLYMER,,,,,,,
306,ADIPIC ACID/DIETHYLE-,,,25085-20-5,,"Hexanedioic acid, polyamide with N-(2-aminoethyl)-1,2-
Film forming",,
307,NETRIAMINE COPOLYMER,,,,,ethanediamine,,
308,ADIPIC ACID/DIMETHY-,,,133184-01-7,,"Hexanedioic acid, polymer with 1-(bis(2-aminoethyl)
Antistatic/film forming",,
309,LAMINOHYDROXYPRO-,,,,,amino)-3-(dimethylamino)-2-propanol,,
310,PYL DIETHYLENETRIA-,,,,,,,
311,MINE COPOLYMER,,,,,,,
