,0
98,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343
99,https://www.1mg.com/drugs/fungidust-dusting-powder-411107
100,https://www.1mg.com/drugs/flumet-dusting-powder-475005
101,https://www.1mg.com/otc/combo-pack-of-tata-1mg-adult-diaper-tape-style-large-10-tata-1mg-antifungal-dusting-powder-100gm-otc834750
102,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100
103,https://www.1mg.com/otc/combo-pack-of-tata-1mg-multipurpose-germ-protection-wipes-72-tata-1mg-antifungal-dusting-powder-100gm-otc857521
104,https://www.1mg.com/otc/b-tex-super-ointment-12gm-each-otc859658
105,https://www.1mg.com/drugs/nizoclin-2-dusting-powder-397637
106,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc111649
107,https://www.1mg.com/otc/combo-pack-of-tata-1mg-antiseptic-liquid-500ml-tata-1mg-antifungal-dusting-powder-100gm-otc834763
108,https://www.1mg.com/drugs/triben-dusting-powder-409265
109,https://www.1mg.com/drugs/drez-s-dusting-powder-310851
110,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc296137
111,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099
112,https://www.1mg.com/drugs/klo-aid-dusting-powder-471779
113,https://www.1mg.com/drugs/xerofung-c-dusting-powder-502549
114,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788099
115,https://www.1mg.com/otc/tata-1mg-summer-essential-combo-pack-otc865217
116,https://www.1mg.com/drugs/trucona-f-dusting-powder-707506
117,https://www.1mg.com/otc/b-tex-lotion-15ml-each-otc859666
118,https://www.1mg.com/otc/funzi-mx-dusting-powder-otc141393
119,https://www.1mg.com/otc/combo-pack-of-tata-1mg-ors-hydration-boost-21.8gm-tata-1mg-antifungal-dusting-powder-100gm-tata-1mg-tejasya-pudina-cooling-pearls-10-otc865010
120,https://www.1mg.com/otc/iafa-af-7-powder-otc724237
121,https://www.1mg.com/otc/combo-pack-of-friends-overnight-adult-diaper-pants-m-l-10-tata-1mg-antifungal-dusting-powder-100gm-otc851625
122,https://www.1mg.com/otc/b-tex-super-ointment-12gm-each-otc859659
123,https://www.1mg.com/otc/b-tex-white-ointment-20gm-each-otc859656
124,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-100gm-each-otc776585
125,https://www.1mg.com/otc/combo-pack-of-tata-1mg-multivitamin-veg-tablet-with-multimineral-for-immunity-energy-and-daily-wellbeing-30-tata-1mg-antifungal-dusting-powder-100gm-otc865014
126,https://www.1mg.com/drugs/blzole-dusting-powder-565916
127,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-100gm-each-otc767074
128,https://www.1mg.com/otc/softheel-cream-15gm-each-otc859670
129,https://www.1mg.com/drugs/trucona-t-dusting-powder-707509
130,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-100gm-each-otc767073
131,https://www.1mg.com/drugs/fungoza-1-dusting-powder-717502
132,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100
133,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-75gm-each-otc767048
134,https://www.1mg.com/drugs/trucona-c-dusting-powder-707504
135,https://www.1mg.com/otc/b-tex-white-ointment-20gm-each-otc859655
136,https://www.1mg.com/drugs/gleniguard-5-powder-681693
137,https://www.1mg.com/drugs/om-biotec-omiderm-antifungal-dusting-powder-731946
138,https://www.1mg.com/drugs/zoyclo-dusting-powder-491454
139,https://www.1mg.com/drugs/clotrimawin-1-powder-708795
140,https://www.1mg.com/otc/candid-dusting-powder-otc663587
141,https://www.1mg.com/drugs/silzo-1-dusting-powder-688849
142,https://www.1mg.com/otc/clotek-antifungal-dusting-powder-75gm-each-otc767049
143,https://www.1mg.com/otc/vinzberry-hand-nail-cream-otc783097
144,https://www.1mg.com/otc/canesten-antifungal-dusting-powder-otc329343
145,https://www.1mg.com/drugs/boscort-c-1-dusting-powder-601307
146,https://www.1mg.com/drugs/terbinac-1-dusting-powder-706581
147,https://www.1mg.com/drugs/relcozo-1-dusting-powder-368367
148,https://www.1mg.com/otc/soreze-adult-diaper-rash-gel-30gm-each-otc788100
149,https://www.1mg.com/drugs/terzide-1-dusting-powder-486425
150,https://www.1mg.com/otc/itch-guard-plus-cream-otc341872
151,https://www.1mg.com/otc/candid-cream-otc402771
152,https://www.1mg.com/drugs/keto-az-lotion-159409
153,https://www.1mg.com/otc/abzorb-anti-fungal-dusting-powder-otc424322
154,https://www.1mg.com/drugs/imidil-dusting-powder-184626
155,https://www.1mg.com/drugs/keto-lotion-548169
